General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Ayoze Pérez,ESP,"MF,FW",27,1993,25,15,1331,14.8,2,1,3,2,0,0,2,0,3.3,3.3,1.3,4.6,39,54,114,0.14,0.07,0.2,0.14,0.2,0.23,0.09,0.31,0.23,0.31
Cengiz Ünder,TUR,"FW,MF",23,1997,9,1,281,3.1,0,2,2,0,0,0,0,0,0.3,0.3,1.6,1.9,12,7,39,0.0,0.64,0.64,0.0,0.64,0.09,0.51,0.59,0.09,0.59
Christian Fuchs,AUT,DF,34,1986,9,8,702,7.8,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,2,39,7,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Daniel Amartey,GHA,DF,25,1994,12,8,722,8.0,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.4,4,24,0,0.12,0.0,0.12,0.12,0.12,0.05,0.0,0.05,0.05,0.05
Demarai Gray,JAM,FW,24,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32
Dennis Praet,BEL,MF,26,1994,15,10,718,8.0,1,1,2,1,0,0,0,0,0.4,0.4,1.1,1.5,22,25,55,0.13,0.13,0.25,0.13,0.25,0.05,0.14,0.19,0.05,0.19
Hamza Choudhury,ENG,MF,22,1997,10,4,316,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,15,1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
Harvey Barnes,ENG,"FW,MF",22,1997,25,22,1945,21.6,9,4,13,9,0,0,0,0,5.9,5.9,1.6,7.5,105,56,163,0.42,0.19,0.6,0.42,0.6,0.27,0.07,0.35,0.27,0.35
Islam Slimani,ALG,FW,32,1988,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,1,4,0.0,0.0,0.0,0.0,0.0,0.28,0.23,0.5,0.28,0.5
James Justin,ENG,DF,22,1998,23,23,2070,23.0,2,1,3,2,0,0,4,0,2.2,2.2,2.0,4.1,64,94,135,0.09,0.04,0.13,0.09,0.13,0.09,0.09,0.18,0.09,0.18
James Maddison,ENG,MF,23,1996,31,24,2099,23.3,8,5,13,8,0,0,4,0,3.8,3.8,5.1,8.9,43,134,116,0.34,0.21,0.56,0.34,0.56,0.16,0.22,0.38,0.16,0.38
Jamie Vardy,ENG,FW,33,1987,34,31,2840,31.6,15,9,24,7,8,9,1,0,19.9,12.8,4.7,17.5,57,31,202,0.48,0.29,0.76,0.22,0.51,0.63,0.15,0.78,0.41,0.55
Jonny Evans,NIR,DF,32,1988,28,28,2473,27.5,2,2,4,2,0,0,7,0,1.7,1.7,0.4,2.1,7,96,5,0.07,0.07,0.15,0.07,0.15,0.06,0.02,0.08,0.06,0.08
Kasper Schmeichel,DEN,GK,33,1986,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelechi Iheanacho,NGA,FW,23,1996,25,16,1459,16.2,12,2,14,12,0,1,1,0,8.2,7.4,3.7,11.1,31,41,124,0.74,0.12,0.86,0.74,0.86,0.51,0.23,0.74,0.46,0.69
Khanya Leshabela,RSA,MF,20,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Thomas,ENG,DF,19,2001,14,12,969,10.8,1,0,1,1,0,0,2,0,0.3,0.3,0.7,1.0,15,27,45,0.09,0.0,0.09,0.09,0.09,0.03,0.06,0.09,0.03,0.09
Marc Albrighton,ENG,"DF,FW",30,1989,31,17,1746,19.4,1,5,6,1,0,0,2,0,1.2,1.2,3.5,4.7,46,84,139,0.05,0.26,0.31,0.05,0.31,0.06,0.18,0.24,0.06,0.24
Nampalys Mendy,SEN,MF,28,1992,23,15,1459,16.2,0,1,1,0,0,0,5,0,0.1,0.1,0.2,0.2,16,66,3,0.0,0.06,0.06,0.0,0.06,0.0,0.01,0.01,0.0,0.01
Ricardo Pereira,POR,"DF,FW",26,1993,15,10,959,10.7,0,1,1,0,0,0,3,0,0.3,0.3,0.6,1.0,20,45,53,0.0,0.09,0.09,0.0,0.09,0.03,0.06,0.09,0.03,0.09
Sidnei Tavares,POR,MF,18,2001,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,6,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
Timothy Castagne,BEL,DF,24,1995,27,27,2345,26.1,2,3,5,2,0,0,1,0,1.1,1.1,2.2,3.4,52,91,148,0.08,0.12,0.19,0.08,0.19,0.04,0.09,0.13,0.04,0.13
Wes Morgan,JAM,DF,36,1984,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley Fofana,FRA,DF,19,2000,28,27,2262,25.1,0,0,0,0,0,0,7,0,1.0,1.0,0.3,1.3,37,93,8,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Wilfred Ndidi,NGA,"MF,DF",23,1996,26,25,2176,24.2,1,4,5,1,0,0,6,0,0.7,0.7,1.3,2.0,7,73,17,0.04,0.17,0.21,0.04,0.21,0.03,0.05,0.08,0.03,0.08
Youri Tielemans,BEL,MF,23,1997,38,37,3357,37.3,6,4,10,4,2,2,6,0,4.4,2.8,3.1,5.9,52,272,66,0.16,0.11,0.27,0.11,0.21,0.12,0.08,0.2,0.08,0.16
Çağlar Söyüncü,TUR,DF,24,1996,23,19,1819,20.2,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2,27,90,2,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.06,0.03,0.06
