General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Aaron Ramsdale,ENG,GK,24,1998,38.0,761,1111,68.5,18974,13109,190,196,96.9,383,390,98.2,186,519,35.8,0,0.0,0.0,0.0,0,30,2,0,8
Albert Sambi Lokonga,BEL,MF,22,1999,2.2,132,140,94.3,2321,539,59,62,95.2,60,63,95.2,11,12,91.7,0,0.0,0.1,0.0,1,17,1,0,12
Ben White,ENG,DF,24,1997,33.9,1888,2242,84.2,31271,10700,893,974,91.7,851,972,87.6,107,205,52.2,5,3.2,3.7,1.8,26,226,42,12,249
Bukayo Saka,ENG,FW,20,2001,35.3,1054,1430,73.7,15405,3694,653,753,86.7,292,378,77.2,70,164,42.7,11,8.5,5.8,2.5,75,50,66,12,109
Cédric Soares,POR,DF,30,1991,0.3,19,24,79.2,257,54,10,10,100.0,8,10,80.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,3
Eddie Nketiah,ENG,FW,23,1999,12.1,205,255,80.4,2894,350,131,151,86.8,58,69,84.1,9,12,75.0,1,1.1,1.3,-0.1,9,9,6,0,15
Emile Smith Rowe,ENG,"MF,FW",22,2000,1.9,74,85,87.1,1070,240,44,48,91.7,24,28,85.7,5,6,83.3,2,0.7,0.6,1.3,6,3,4,0,7
Ethan Nwaneri,ENG,FW,15,2007,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Fabio Vieira,POR,"MF,FW",22,2000,5.7,234,290,80.7,3557,834,129,142,90.8,84,99,84.8,9,25,36.0,2,2.5,1.4,-0.5,12,26,7,2,35
Gabriel Jesus,BRA,FW,25,1997,22.9,561,699,80.3,8525,1644,297,349,85.1,206,234,88.0,28,45,62.2,6,3.9,2.9,2.1,31,31,22,2,64
Gabriel Magalhães,BRA,DF,24,1997,37.9,2155,2411,89.4,38355,13522,870,922,94.4,1111,1180,94.2,150,246,61.0,0,0.3,0.6,-0.3,5,171,3,0,153
Gabriel Martinelli,BRA,FW,21,2001,31.0,833,1107,75.2,12960,2610,447,527,84.8,295,356,82.9,61,123,49.6,5,9.1,7.0,-4.1,59,33,43,10,94
Granit Xhaka,SUI,MF,29,1992,33.3,1382,1632,84.7,22642,5919,675,762,88.6,552,635,86.9,113,139,81.3,7,5.2,4.0,1.8,47,148,40,4,196
Jakub Kiwior,POL,DF,22,2000,4.7,177,205,86.3,3030,924,62,70,88.6,104,109,95.4,7,15,46.7,0,0.0,0.0,0.0,1,6,0,0,6
Jorginho,ITA,MF,30,1991,9.5,641,736,87.1,10809,3031,279,311,89.7,305,334,91.3,41,61,67.2,1,0.2,0.6,0.8,5,84,12,0,99
Kieran Tierney,SCO,DF,25,1997,8.8,362,486,74.5,6636,2048,152,172,88.4,170,215,79.1,35,69,50.7,1,0.3,0.4,0.7,4,35,9,1,36
Leandro Trossard,BEL,FW,27,1994,10.3,347,452,76.8,5770,1501,165,191,86.4,133,158,84.2,35,59,59.3,10,4.7,3.9,5.3,22,20,30,5,57
Marquinhos,BRA,MF,19,2003,0.0,2,3,66.7,34,5,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Martin Ødegaard,NOR,MF,23,1998,34.7,1449,1804,80.3,22540,6014,759,873,86.9,518,617,84.0,110,175,62.9,7,8.1,7.9,-1.1,76,135,91,4,266
Mohamed Elneny,EGY,MF,30,1992,1.3,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0,0.0,0.0,0.0,0,3,2,0,2
Oleksandr Zinchenko,UKR,DF,25,1996,23.5,1652,1911,86.4,27023,7899,808,876,92.2,696,798,87.2,105,148,70.9,2,1.4,2.4,0.6,19,201,41,4,227
Reiss Nelson,ENG,FW,22,1999,2.4,101,120,84.2,1331,213,62,69,89.9,29,34,85.3,4,7,57.1,2,1.4,1.0,0.6,9,3,4,2,6
Rob Holding,ENG,DF,26,1995,6.3,382,442,86.4,7494,2701,141,152,92.8,191,207,92.3,46,69,66.7,0,0.0,0.1,0.0,0,23,1,0,24
Takehiro Tomiyasu,JPN,DF,23,1998,7.4,384,474,81.0,6453,2036,173,200,86.5,171,199,85.9,30,56,53.6,1,0.6,0.2,0.4,4,41,6,2,51
Thomas Partey,GHA,MF,29,1993,27.6,1731,1985,87.2,30132,9207,804,876,91.8,712,801,88.9,178,240,74.2,0,1.5,2.4,-1.5,26,231,24,2,231
William Saliba,FRA,DF,21,2001,26.8,1698,1865,91.0,29692,11617,715,767,93.2,844,905,93.3,108,144,75.0,1,1.2,0.3,-0.2,6,111,3,0,99
