comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 2–4,b2b47a98,7c21e445,0,21,0,0,0,0,1,0,0,0,14,0,0,1,0.0,0.0,0.0,1,0,8,10,80.0,1,9,1,0,0,2021-08-15,41091264
Premier League,Matchweek 2,L 0–2,b2b47a98,8602292d,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,4,0,0,0,2021-08-21,662d4074
Premier League,Matchweek 3,D 2–2,b2b47a98,33c895d4,0,7,0,0,0,0,1,0,0,0,6,0,0,0,0.2,0.2,0.0,1,1,1,4,25.0,0,1,0,0,0,2021-08-28,d81af076
Premier League,Matchweek 5,D 1–1,b2b47a98,5bfb9659,0,29,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,1,0,5,8,62.5,0,6,0,0,0,2021-09-17,aad7d38a
Premier League,Matchweek 6,D 1–1,b2b47a98,2abfe087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-25,70fda3e9
Premier League,Matchweek 7,L 1–2,b2b47a98,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-02,00dcbdaa
Premier League,Matchweek 8,L 2–3,b2b47a98,361ca564,0,14,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,7,7,100.0,1,5,0,0,0,2021-10-17,4bd69343
Premier League,Matchweek 9,D 1–1,b2b47a98,47c64c55,1,65,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,5,10,50.0,0,10,0,1,0,2021-10-23,4d1b6f6f
Premier League,Matchweek 10,L 0–3,b2b47a98,cff3d9bb,1,65,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,2,0,8,11,72.7,0,11,1,0,0,2021-10-30,49478cd2
Premier League,Matchweek 11,D 1–1,b2b47a98,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-11-06,10d11999
Premier League,Matchweek 12,D 3–3,b2b47a98,cd051869,0,20,0,1,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.2,2,1,10,12,83.3,0,9,0,0,0,2021-11-20,adbf56bc
Premier League,Matchweek 13,L 0–2,b2b47a98,18bb7c10,1,90,0,0,0,0,0,0,0,0,42,1,1,0,0.0,0.0,0.0,2,0,28,38,73.7,2,28,2,0,0,2021-11-27,067e0ab9
Premier League,Matchweek 14,D 1–1,b2b47a98,1c781004,1,10,0,0,0,0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,2021-11-30,ce4d873f
Premier League,Matchweek 16,L 0–4,b2b47a98,a2d435b3,0,29,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,20,23,87.0,3,12,1,0,0,2021-12-12,8805978d
