General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Alexis Saelemaekers,BEL,"FW,MF",24,1999,30,21,1887,21.0,4,2,6,4,0,0,7,1,2.6,2.6,2.8,5.5,65,77,180,0.19,0.1,0.29,0.19,0.29,0.13,0.14,0.26,0.13,0.26
Charalambos Lykogiannis,GRE,DF,29,1993,22,10,904,10.0,2,1,3,2,0,0,2,0,1.3,1.3,1.6,2.9,36,35,41,0.2,0.1,0.3,0.2,0.3,0.13,0.16,0.29,0.13,0.29
Dan Ndoye,SUI,"FW,MF",22,2000,32,20,1771,19.7,1,1,2,1,0,0,4,0,4.9,4.9,1.8,6.6,88,36,173,0.05,0.05,0.1,0.05,0.1,0.25,0.09,0.34,0.25,0.34
Federico Ravaglia,ITA,GK,23,1999,6,6,535,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Fabbian,ITA,"MF,FW",20,2003,27,11,1057,11.7,5,2,7,5,0,0,4,0,4.2,4.2,1.9,6.0,11,17,41,0.43,0.17,0.6,0.43,0.6,0.35,0.16,0.51,0.35,0.51
Jens Odgaard,DEN,"FW,MF",24,1999,10,5,431,4.8,2,0,2,2,0,0,1,0,1.5,1.5,0.1,1.5,9,9,30,0.42,0.0,0.42,0.42,0.42,0.31,0.01,0.32,0.31,0.32
Jesper Karlsson,SWE,FW,25,1998,7,4,344,3.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,13,16,35,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.19,0.11,0.19
Jhon Lucumí,COL,DF,25,1998,29,23,2217,24.6,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,28,93,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Joshua Zirkzee,NED,FW,22,2001,34,32,2759,30.7,11,4,15,9,2,2,8,0,9.0,7.4,5.2,12.6,53,86,182,0.36,0.13,0.49,0.29,0.42,0.29,0.17,0.46,0.24,0.41
Kacper Urbanski,POL,"MF,FW",18,2004,22,9,926,10.3,0,1,1,0,0,0,2,0,1.1,1.1,0.8,1.9,25,31,78,0.0,0.1,0.1,0.0,0.1,0.1,0.08,0.19,0.1,0.19
Kevin Bonifazi,ITA,DF,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Ferguson,SCO,MF,23,1999,31,31,2712,30.1,6,3,9,6,0,0,8,0,5.4,5.4,2.3,7.7,57,142,138,0.2,0.1,0.3,0.2,0.3,0.18,0.08,0.26,0.18,0.26
Lorenzo De Silvestri,ITA,DF,35,1988,15,7,674,7.5,2,0,2,2,0,0,0,0,0.2,0.2,0.0,0.2,14,27,12,0.27,0.0,0.27,0.27,0.27,0.03,0.0,0.03,0.03,0.03
Michel Aebischer,SUI,MF,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26,125,55,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11
Nicola Bagnolini,ITA,GK,19,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Domínguez,ARG,MF,25,1998,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
Nikola Moro,CRO,MF,25,1998,23,10,840,9.3,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,21,58,38,0.11,0.0,0.11,0.11,0.11,0.08,0.04,0.12,0.08,0.12
Oussama El Azzouzi,MAR,MF,22,2001,18,5,547,6.1,2,2,4,2,0,0,4,0,0.5,0.5,0.6,1.0,4,19,8,0.33,0.33,0.66,0.33,0.66,0.08,0.09,0.17,0.08,0.17
Remo Freuler,SUI,MF,31,1992,32,30,2624,29.2,1,1,2,1,0,0,9,0,1.2,1.2,1.1,2.3,37,165,48,0.03,0.03,0.07,0.03,0.07,0.04,0.04,0.08,0.04,0.08
Riccardo Calafiori,ITA,DF,21,2002,30,26,2349,26.1,2,5,7,2,0,0,4,0,1.4,1.4,1.2,2.6,28,96,23,0.08,0.19,0.27,0.08,0.27,0.05,0.05,0.1,0.05,0.1
