comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–1,1df6b87e,47c64c55,1,90,0,0,0,0,2,0,1,0,22,0,0,1,0.2,0.2,0.0,0,0,6,9,66.7,0,13,1,2,0,2023-08-12,55fd92c7
Premier League,Matchweek 2,L 1–2,1df6b87e,e4a775cb,1,73,0,0,0,0,1,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,5,9,55.6,0,9,0,2,0,2023-08-18,a0a93f71
Premier League,Matchweek 3,L 1–2,1df6b87e,b8fd03ef,1,70,0,0,0,0,0,0,1,0,20,0,0,0,0.0,0.0,0.0,0,0,3,11,27.3,0,8,1,2,0,2023-08-27,0844ff10
Premier League,Matchweek 4,D 2–2,1df6b87e,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-02,87b46bb9
Premier League,Matchweek 11,W 2–1,1df6b87e,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-04,e841bbac
Premier League,Matchweek 12,D 1–1,1df6b87e,d07537b9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2023-11-12,ebf41e41
Premier League,Matchweek 13,L 1–3,1df6b87e,4ba7cbea,0,10,0,0,0,0,3,1,0,0,10,1,0,0,0.1,0.1,0.0,1,0,1,3,33.3,0,4,1,2,1,2023-11-25,799a2c04
Premier League,Matchweek 14,L 0–5,1df6b87e,943e8050,0,45,0,0,0,0,3,2,1,0,15,0,0,0,0.2,0.2,0.0,1,0,5,9,55.6,1,8,1,1,0,2023-12-02,e2c53b0a
Premier League,Matchweek 15,L 0–2,1df6b87e,822bd0ba,1,73,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,1,0,5,10,50.0,1,11,0,1,0,2023-12-06,01aca132
Premier League,Matchweek 16,W 1–0,1df6b87e,cd051869,1,52,0,0,0,0,1,0,1,0,12,0,0,0,0.1,0.1,0.0,0,0,1,6,16.7,0,4,1,0,0,2023-12-09,e268f518
Premier League,Matchweek 17,L 0–2,1df6b87e,cff3d9bb,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,2023-12-16,3bbbaf15
Premier League,Matchweek 19,L 2–3,1df6b87e,e297cd13,0,5,0,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,6,0,0,0,2023-12-26,6269b2e3
Premier League,Matchweek 20,L 0–2,1df6b87e,b8fd03ef,1,66,0,0,0,0,2,1,0,0,7,0,1,0,0.1,0.1,0.0,2,0,1,3,33.3,0,5,1,1,1,2023-12-30,aefd7405
Premier League,Matchweek 21,D 2–2,1df6b87e,7c21e445,1,45,0,0,0,0,3,1,0,0,14,0,0,0,0.4,0.4,0.0,2,1,2,5,40.0,0,8,0,0,0,2024-01-21,abd525b4
Premier League,Matchweek 22,L 2–3,1df6b87e,47c64c55,0,27,0,0,0,0,3,1,0,0,4,0,0,0,0.2,0.2,0.0,1,0,0,0,,0,3,0,0,0,2024-01-30,9f51ce03
Premier League,Matchweek 23,L 0–5,1df6b87e,8602292d,1,45,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,0,4,5,80.0,0,7,0,0,0,2024-02-03,b3e195c5
Premier League,Matchweek 24,W 3–1,1df6b87e,e297cd13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-10,1a4e7d02
Premier League,Matchweek 25,L 0–5,1df6b87e,d07537b9,1,30,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,2024-02-18,811fa03f
Premier League,Matchweek 26,L 0–1,1df6b87e,8cec06e1,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,2024-02-25,ada09dda
Premier League,Matchweek 27,L 0–6,1df6b87e,18bb7c10,0,45,0,0,0,0,1,0,0,0,11,0,1,0,0.1,0.1,0.0,0,0,2,3,66.7,0,3,0,1,0,2024-03-04,2eca8900
Premier League,Matchweek 28,D 2–2,1df6b87e,4ba7cbea,0,11,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,3,0,2,0,2024-03-09,81b6715a
Premier League,Matchweek 30,D 3–3,1df6b87e,fd962109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-30,ad4a1302
Premier League,Matchweek 31,L 1–3,1df6b87e,822bd0ba,0,28,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,1,0,2024-04-04,1f5973e2
Premier League,Matchweek 32,D 2–2,1df6b87e,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-07,d3850c26
Premier League,Matchweek 33,L 0–2,1df6b87e,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13,4a4d2976
Premier League,Matchweek 34,L 1–4,1df6b87e,943e8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-20,ee8223ec
Premier League,Matchweek 29,L 2–4,1df6b87e,19538871,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,2024-04-24,70770e72
Premier League,Matchweek 35,L 1–5,1df6b87e,b2b47a98,0,24,0,0,0,0,1,1,0,0,8,0,0,0,0.1,0.1,0.0,1,0,6,6,100.0,0,7,1,1,1,2024-04-27,e92d40be
Premier League,Matchweek 36,L 1–3,1df6b87e,e4a775cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-04,91a2da3b
Premier League,Matchweek 37,L 0–1,1df6b87e,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-11,482e6ce4
