General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alberto Grassi,ITA,MF,27,1995,13.3,26,21,13,13,0,15,24,62.5,9,23,12,11,27,53,45,0
Ardian Ismajli,ALB,DF,25,1996,23.3,40,32,25,15,0,18,24,75.0,6,47,31,16,27,67,120,0
Duccio Degl'Innocenti,ITA,MF,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Emanuel Vignato,ITA,"MF,FW",21,2000,0.6,2,0,2,0,0,0,0,,0,0,0,0,0,2,1,0
Emmanuel Ekong,SWE,"FW,MF",20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Fabiano Parisi,ITA,DF,21,2000,31.4,65,35,37,21,7,30,72,41.7,42,51,16,35,41,106,91,0
Filippo Bandinelli,ITA,MF,27,1995,25.1,55,34,19,26,10,17,45,37.8,28,20,7,13,18,73,40,0
Francesco Caputo,ITA,FW,34,1987,19.0,2,2,0,1,1,0,1,0.0,1,7,2,5,2,4,8,0
Guglielmo Vicario,ITA,GK,25,1996,30.9,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,15,2
Herculano Nabian,POR,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jacopo Fazzini,ITA,MF,19,2003,9.2,31,17,20,8,3,18,34,52.9,16,15,3,12,7,38,19,0
Jean-Daniel Akpa-Akpro,CIV,"MF,FW",29,1992,15.1,53,37,25,19,9,23,42,54.8,19,35,4,31,13,66,27,0
Koni De Winter,BEL,DF,20,2002,11.4,14,9,11,3,0,5,13,38.5,8,14,12,2,6,20,65,0
Liam Henderson,SCO,MF,26,1996,11.2,13,10,6,5,2,4,21,19.0,17,10,2,8,10,23,10,0
Liberato Cacace,NZL,DF,21,2000,6.5,25,10,12,8,5,9,15,60.0,6,15,7,8,4,29,16,0
Lorenzo Tonelli,ITA,DF,32,1990,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Marko Pjaca,CRO,"MF,FW",27,1995,5.8,4,3,3,1,0,3,5,60.0,2,3,0,3,3,7,3,0
Martin Satriano,URU,FW,21,2001,18.9,13,8,5,6,2,6,14,42.9,8,5,0,5,3,16,22,0
Mattia Destro,ITA,"FW,MF",31,1991,6.4,1,1,0,1,0,0,0,,0,2,0,2,1,2,5,0
Nedim Bajrami,ALB,"MF,FW",23,1999,10.4,8,4,3,3,2,4,6,66.7,2,5,0,5,7,15,4,0
Nicolas Haas,SUI,MF,26,1996,12.8,27,13,16,6,5,12,24,50.0,12,16,4,12,8,35,27,0
Nicolò Cambiaghi,ITA,"FW,MF",21,2000,14.3,30,22,11,12,7,8,27,29.6,19,19,1,18,9,39,8,0
Petar Stojanović,SVN,DF,26,1995,17.0,42,22,28,10,4,26,43,60.5,17,17,5,12,11,53,55,0
Roberto Piccoli,ITA,FW,21,2001,5.7,1,1,1,0,0,0,3,0.0,3,4,1,3,1,2,9,0
Răzvan Marin,ROU,MF,26,1996,28.2,44,22,22,21,1,19,40,47.5,21,29,11,18,14,58,33,0
Sam Lammers,NED,FW,25,1997,9.8,20,10,5,9,6,7,11,63.6,4,4,1,3,3,23,8,0
Samir Ujkani,KVX,GK,34,1988,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Samuele Perisan,ITA,GK,24,1997,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Sebastian Walukiewicz,POL,DF,22,2000,6.7,9,6,7,2,0,4,6,66.7,2,10,9,1,7,16,30,0
Sebastiano Luperto,ITA,DF,25,1996,34.8,33,18,24,8,1,9,20,45.0,11,54,42,12,43,76,163,1
Tommaso Baldanzi,ITA,MF,19,2003,19.7,25,12,9,13,3,7,32,21.9,25,21,1,20,2,27,5,0
Tyronne Ebuehi,NGA,DF,26,1995,21.4,22,14,11,7,4,9,13,69.2,4,23,12,11,12,34,79,1
