General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Abner,BRA,DF,22,2000,6.7,252,351,71.8,3886,1578,130,149,87.2,94,134,70.1,16,42,38.1,0,0.1,0.5,-0.1,2,18,3,1,16
Aitor Ruibal,ESP,"DF,FW",26,1996,16.2,647,841,76.9,10213,3689,356,394,90.4,212,281,75.4,51,100,51.0,0,2.1,1.1,-2.1,15,51,12,5,62
Andrés Guardado,MEX,MF,35,1986,15.3,739,870,84.9,13792,3995,341,363,93.9,292,333,87.7,95,137,69.3,1,1.1,1.0,-0.1,12,70,5,0,72
Ayoze Pérez,ESP,"FW,MF",29,1993,15.4,308,391,78.8,3512,1077,221,255,86.7,60,79,75.9,5,6,83.3,1,2.0,2.0,-1.0,13,19,14,0,39
Borja Iglesias,ESP,FW,29,1993,26.3,397,522,76.1,4818,691,260,320,81.3,73,97,75.3,19,22,86.4,3,2.8,2.2,0.2,22,13,14,0,33
Claudio Bravo,CHI,GK,39,1983,12.0,232,392,59.2,7419,5674,44,44,100.0,89,91,97.8,96,251,38.2,0,0.0,0.0,0.0,0,5,1,0,1
Felix Garreta,ESP,DF,18,2004,1.0,34,40,85.0,709,206,11,13,84.6,16,18,88.9,7,8,87.5,0,0.0,0.0,0.0,0,2,0,0,2
Fran Delgado,ESP,DF,21,2001,0.1,7,8,87.5,110,13,4,4,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Germán Pezzella,ARG,DF,31,1991,27.9,1129,1312,86.1,21195,8087,408,432,94.4,608,657,92.5,101,192,52.6,0,0.2,0.4,-0.2,4,45,3,0,54
Guido Rodríguez,ARG,MF,28,1994,31.9,1464,1688,86.7,23761,7863,729,796,91.6,541,604,89.6,129,189,68.3,0,0.3,0.8,-0.3,11,133,9,1,123
Joaquín,ESP,"MF,FW",41,1981,5.5,258,324,79.6,3561,928,159,175,90.9,74,91,81.3,12,31,38.7,2,1.8,1.8,0.2,21,15,11,3,26
Juan Cruz,ESP,FW,22,2000,2.0,25,39,64.1,282,72,17,19,89.5,5,11,45.5,0,4,0.0,0,0.1,0.1,-0.1,2,0,0,0,1
Juan Miranda,ESP,DF,22,2000,16.4,588,830,70.8,9875,5120,277,325,85.2,210,293,71.7,67,142,47.2,2,2.9,2.4,-0.9,21,55,28,9,73
Juanmi,ESP,FW,29,1993,10.3,207,245,84.5,2759,466,133,145,91.7,54,62,87.1,7,12,58.3,0,0.9,0.9,-0.9,4,7,3,0,15
Loren Morón,ESP,FW,28,1993,0.2,3,4,75.0,29,0,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Luiz Felipe,ITA,DF,25,1997,19.6,753,884,85.2,13198,5133,306,336,91.1,356,397,89.7,69,111,62.2,0,0.3,0.3,-0.3,3,33,1,1,42
Luiz Henrique,BRA,FW,21,2001,20.1,415,561,74.0,5705,1138,265,310,85.5,114,154,74.0,17,32,53.1,3,2.9,2.1,0.1,17,13,14,6,26
Martín Montoya,ESP,DF,31,1991,5.0,190,244,77.9,2765,1133,107,116,92.2,60,77,77.9,12,31,38.7,0,0.7,0.6,-0.7,4,12,3,2,16
Nabil Fekir,FRA,MF,29,1993,10.7,378,484,78.1,4746,1367,226,258,87.6,90,107,84.1,18,55,32.7,2,2.7,2.4,-0.7,23,34,14,1,41
Paul Akouokou,CIV,"MF,DF",24,1997,5.0,160,174,92.0,2670,645,71,73,97.3,66,69,95.7,14,18,77.8,0,0.0,0.1,0.0,0,13,1,0,10
Roberto González,ESP,"FW,MF",21,2001,0.6,25,29,86.2,374,121,12,14,85.7,8,8,100.0,3,5,60.0,0,0.3,0.2,-0.3,3,2,0,0,2
Rodri,ESP,"FW,MF",22,2000,17.8,732,858,85.3,10858,2751,396,428,92.5,233,274,85.0,52,75,69.3,3,2.2,2.1,0.8,22,52,34,5,102
Rui Silva,POR,GK,28,1994,26.0,593,886,66.9,18170,13730,98,99,99.0,248,256,96.9,245,525,46.7,0,0.0,0.2,0.0,0,14,1,0,0
Sergio Canales,ESP,"FW,MF",31,1991,26.7,1116,1474,75.7,16689,4491,623,697,89.4,319,407,78.4,99,211,46.9,3,5.6,5.1,-2.6,56,94,51,14,143
Víctor Ruiz,ESP,DF,33,1989,6.2,213,251,84.9,3911,1737,88,98,89.8,104,111,93.7,18,37,48.6,0,0.2,0.2,-0.2,2,11,0,0,10
William Carvalho,POR,MF,30,1992,27.1,1510,1745,86.5,24743,7482,786,859,91.5,525,599,87.6,148,194,76.3,1,1.6,2.1,-0.6,22,170,23,1,203
Willian José,BRA,FW,30,1991,8.1,206,266,77.4,2771,446,118,137,86.1,67,84,79.8,8,15,53.3,1,1.3,0.5,-0.3,8,4,3,0,14
Youssouf Sabaly,SEN,DF,29,1993,18.7,780,949,82.2,10707,4336,468,514,91.1,249,313,79.6,25,55,45.5,1,0.7,0.5,0.3,12,51,9,1,72
Álex Moreno,ESP,DF,29,1993,15.0,525,695,75.5,7787,3493,298,332,89.8,180,247,72.9,31,69,44.9,3,1.5,1.4,1.5,9,38,13,4,44
Édgar González,ESP,DF,25,1997,19.7,792,892,88.8,14260,4998,333,362,92.0,384,415,92.5,68,97,70.1,0,0.8,0.7,-0.8,2,14,0,0,30
