General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Aleix Garrido,ESP,FW,18,2004,0.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Alejandro Balde,ESP,DF,18,2003,27.5,4,0,0,27,29,5,67,12,30,0,0,0,145,19,18,51.4
Andreas Christensen,DEN,DF,26,1996,19.6,2,0,0,18,7,0,1,21,15,0,0,1,107,42,19,68.9
Ansu Fati,ESP,FW,19,2002,15.5,3,0,0,18,13,10,9,5,9,0,0,0,65,7,14,33.3
Chadi Riad,MAR,MF,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eric García,ESP,"DF,MF",21,2001,15.7,3,0,0,18,8,0,0,19,16,0,2,0,90,23,15,60.5
Ferrán Torres,ESP,"FW,MF",22,2000,15.5,5,1,0,17,25,8,60,3,7,0,0,0,53,11,9,55.0
Franck Kessié,CIV,MF,25,1996,11.0,4,0,0,17,16,3,5,12,9,0,0,0,61,7,8,46.7
Frenkie de Jong,NED,MF,25,1997,28.2,3,0,0,33,34,1,37,35,26,0,0,0,182,32,15,68.1
Gavi,ESP,"MF,FW",17,2004,28.1,10,0,0,74,72,9,38,18,31,0,0,0,113,39,33,54.2
Gerard Piqué,ESP,DF,35,1987,4.3,2,1,0,7,2,0,0,2,4,0,0,0,26,20,6,76.9
Héctor Bellerín,ESP,DF,27,1995,1.6,0,0,0,2,0,0,3,3,0,0,0,0,10,3,0,100.0
Iñaki Peña,ESP,GK,23,1999,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Jordi Alba,ESP,DF,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8
Jules Koundé,FRA,DF,23,1998,27.0,2,0,0,22,12,2,36,19,23,0,0,1,157,43,22,66.2
Lamine Yamal,ESP,FW,15,2007,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
Marc-André ter Stegen,GER,GK,30,1992,37.2,0,0,0,0,2,0,0,1,0,0,0,0,69,6,1,85.7
Marcos Alonso,ESP,DF,31,1990,13.0,3,0,0,10,8,0,23,11,10,0,1,0,85,26,10,72.2
Memphis,NED,FW,28,1994,1.3,0,0,0,2,2,1,4,0,1,0,0,0,7,1,2,33.3
Ousmane Dembélé,FRA,FW,25,1997,15.7,4,0,0,16,19,5,106,0,12,0,0,0,60,4,12,25.0
Pablo Torre,ESP,"FW,MF",19,2003,1.6,0,0,0,4,3,0,8,2,1,0,0,0,9,1,1,50.0
Pedri,ESP,MF,19,2002,22.0,2,0,0,8,43,4,25,13,22,0,0,0,134,3,5,37.5
Pierre-Emerick Aubameyang,GAB,FW,33,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Raphinha,BRA,FW,25,1996,23.0,9,0,0,22,37,15,172,14,19,0,0,0,98,14,9,60.9
Robert Lewandowski,POL,FW,33,1988,31.6,4,1,1,39,46,22,19,2,11,0,0,0,58,52,45,53.6
Ronald Araújo,URU,DF,23,1999,20.0,5,1,0,16,17,1,5,12,18,0,0,1,94,46,27,63.0
Sergi Roberto,ESP,"DF,MF",30,1992,14.5,3,0,0,19,12,2,25,11,15,0,0,0,62,7,12,36.8
Sergio Busquets,ESP,MF,34,1988,26.0,8,1,1,31,40,0,7,27,26,0,0,0,187,53,59,47.3
Ángel Alarcón,ESP,FW,18,2004,0.3,0,0,0,2,1,0,1,0,0,,,0,,,,
