General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Adam Obert,SVK,DF,20,2002,17,10,941,10.5,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1.1,14,37,5,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1
Alberto Dossena,ITA,DF,24,1998,35,33,2977,33.1,2,4,6,2,0,0,5,0,2.2,2.2,2.1,4.3,9,89,2,0.06,0.12,0.18,0.06,0.18,0.07,0.06,0.13,0.07,0.13
Alessandro Deiola,ITA,MF,27,1995,27,19,1608,17.9,1,0,1,1,0,0,7,0,2.5,2.5,0.9,3.4,9,64,21,0.06,0.0,0.06,0.06,0.06,0.14,0.05,0.19,0.14,0.19
Alessandro Di Pardo,ITA,"DF,MF",24,1999,15,2,359,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,11,19,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
Andrea Petagna,ITA,FW,28,1995,18,13,995,11.1,1,1,2,1,0,0,2,0,1.6,1.6,1.0,2.6,11,14,56,0.09,0.09,0.18,0.09,0.18,0.15,0.09,0.23,0.15,0.23
Antoine Makoumbou,CGO,MF,25,1998,32,32,2702,30.0,1,0,1,1,0,0,5,2,0.7,0.7,0.9,1.6,37,137,52,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05
Boris Radunović,SRB,GK,27,1996,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edoardo Goldaniga,ITA,DF,29,1993,13,12,1011,11.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.7,9,50,3,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
Eldor Shomurodov,UZB,"FW,MF",28,1995,22,10,936,10.4,3,3,6,3,0,0,1,0,3.5,3.5,1.7,5.2,12,18,52,0.29,0.29,0.58,0.29,0.58,0.34,0.16,0.5,0.34,0.5
Gabriele Zappa,ITA,DF,23,1999,38,25,2561,28.5,1,3,4,1,0,0,2,0,1.5,1.5,3.3,4.8,35,99,84,0.04,0.11,0.14,0.04,0.14,0.05,0.12,0.17,0.05,0.17
Gaetano Oristanio,ITA,"FW,MF",20,2002,25,11,1104,12.3,2,1,3,2,0,0,1,0,1.8,1.8,1.1,2.8,25,26,76,0.16,0.08,0.24,0.16,0.24,0.14,0.09,0.23,0.14,0.23
Gianluca Gaetano,ITA,"FW,MF",23,2000,11,10,745,8.3,4,1,5,3,1,1,1,1,1.3,0.5,1.3,1.8,17,41,42,0.48,0.12,0.6,0.36,0.48,0.15,0.16,0.31,0.06,0.22
Gianluca Lapadula,PER,FW,33,1990,23,14,1205,13.4,3,1,4,2,1,1,3,0,4.8,4.1,1.1,5.1,8,4,63,0.22,0.07,0.3,0.15,0.22,0.36,0.08,0.44,0.3,0.38
Ibrahim Sulemana,GHA,MF,20,2003,21,16,1339,14.9,2,0,2,2,0,0,4,0,0.8,0.8,0.1,0.9,15,27,14,0.13,0.0,0.13,0.13,0.13,0.05,0.01,0.06,0.05,0.06
Jakub Jankto,CZE,"MF,FW",27,1996,18,13,872,9.7,1,2,3,1,0,0,0,0,1.5,1.5,0.5,1.9,12,26,48,0.1,0.21,0.31,0.1,0.31,0.16,0.05,0.21,0.15,0.2
Kingstone Mutandwa,ZAM,"FW,MF",20,2003,5,0,39,0.4,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,2.31,0.0,2.31,2.31,2.31,0.17,0.0,0.17,0.17,0.17
Leonardo Pavoletti,ITA,FW,34,1988,19,5,628,7.0,4,1,5,4,0,0,4,0,2.6,2.6,0.3,2.9,1,16,40,0.57,0.14,0.72,0.57,0.72,0.37,0.04,0.41,0.37,0.41
Marco Mancosu,ITA,"MF,FW",34,1988,6,3,156,1.7,0,0,0,0,0,1,0,0,1.2,0.5,0.2,0.7,4,8,11,0.0,0.0,0.0,0.0,0.0,0.71,0.13,0.85,0.29,0.42
Mateusz Wieteska,POL,DF,26,1997,19,10,965,10.7,0,1,1,0,0,0,5,1,0.3,0.3,0.6,0.9,16,33,1,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.08,0.03,0.08
Matteo Prati,ITA,MF,19,2003,26,19,1972,21.9,1,1,2,1,0,0,4,0,2.0,2.0,0.8,2.8,8,66,17,0.05,0.05,0.09,0.05,0.09,0.09,0.03,0.13,0.09,0.13
Nahitan Nández,URU,"MF,DF",27,1995,33,29,2341,26.0,2,3,5,1,1,1,7,0,3.7,2.9,2.5,5.5,57,76,89,0.08,0.12,0.19,0.04,0.15,0.14,0.1,0.24,0.11,0.21
Nicolas Viola,ITA,"MF,FW",33,1989,26,11,1207,13.4,5,2,7,5,0,1,3,0,3.4,2.6,3.9,6.5,22,57,68,0.37,0.15,0.52,0.37,0.52,0.25,0.29,0.54,0.19,0.49
Pantelis Hatzidiakos,GRE,DF,26,1997,13,13,856,9.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,34,7,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Paulo Azzi,BRA,"DF,MF",29,1994,25,9,950,10.6,0,0,0,0,0,0,1,0,1.2,1.2,0.7,1.9,47,35,42,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.18,0.12,0.18
Simone Aresti,ITA,GK,37,1986,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Scuffet,ITA,GK,27,1996,31,31,2789,31.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
