General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes,Per 90 minutes
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Gls,Ast,G+a,G-pk,Pk,Pkatt,Crdy,Crdr,Xg,Npxg,Xag,Npxg+xag,Prgc,Prgp,Prgr,Gls,Ast,G+a,G-pk,G+a-pk,Xg,Xag,Xg+xag,Npxg,Npxg+xag
Adri Embarba,ESP,"FW,MF",30,1992,29,18,1472,16.4,4,3,7,3,1,1,5,1,3.8,3.1,3.4,6.4,62,47,115,0.24,0.18,0.43,0.18,0.37,0.23,0.21,0.44,0.19,0.39
Alejandro Pozo Pozo,ESP,DF,23,1999,30,20,1880,20.9,0,3,3,0,0,0,2,0,0.5,0.5,3.6,4.2,44,64,90,0.0,0.14,0.14,0.0,0.14,0.03,0.17,0.2,0.03,0.2
Arnau Puigmal,ESP,"MF,FW",21,2001,22,7,763,8.5,1,0,1,1,0,0,4,0,1.1,1.1,0.5,1.7,24,16,57,0.12,0.0,0.12,0.12,0.12,0.13,0.06,0.19,0.13,0.19
Curro,ESP,MF,26,1996,2,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.19,0.44,0.63,0.19,0.63
César de la Hoz,ESP,MF,30,1992,25,18,1673,18.6,1,0,1,1,0,0,6,0,0.4,0.4,0.9,1.3,3,49,6,0.05,0.0,0.05,0.05,0.05,0.02,0.05,0.07,0.02,0.07
Diego Mariño,ESP,GK,32,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyego Sousa,POR,FW,32,1989,20,3,527,5.9,0,1,1,0,0,0,1,0,1.2,1.2,1.0,2.2,10,16,39,0.0,0.17,0.17,0.0,0.17,0.2,0.17,0.37,0.2,0.37
El Bilal Touré,MLI,FW,20,2001,21,15,1264,14.0,7,2,9,7,0,0,0,0,6.3,6.3,1.3,7.6,18,14,51,0.5,0.14,0.64,0.5,0.64,0.45,0.09,0.54,0.45,0.54
Fernando,ESP,GK,32,1990,37,37,3285,36.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Pacheco,ESP,GK,30,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Portillo,ESP,"MF,FW",32,1990,27,4,722,8.0,2,1,3,2,0,0,1,0,0.7,0.7,1.0,1.7,16,74,37,0.25,0.12,0.37,0.25,0.37,0.09,0.13,0.21,0.09,0.21
Gonzalo Melero,ESP,MF,28,1994,27,24,1855,20.6,4,3,7,3,1,1,5,0,3.0,2.3,1.8,4.0,31,97,37,0.19,0.15,0.34,0.15,0.29,0.15,0.08,0.23,0.11,0.19
Houboulang Mendes,GNB,DF,24,1998,14,11,886,9.8,0,1,1,0,0,0,2,0,0.0,0.0,0.3,0.3,18,18,30,0.0,0.1,0.1,0.0,0.1,0.0,0.03,0.03,0.0,0.03
José Carlos Lazo,ESP,"MF,FW",26,1996,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27
Juan Brandáriz,ESP,DF,23,1999,21,15,1489,16.5,1,0,1,1,0,0,5,0,0.4,0.4,0.1,0.5,13,32,10,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.03,0.02,0.03
Kaiky,BRA,DF,18,2004,13,7,581,6.5,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,7,11,2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Largie Ramazani,BEL,"FW,MF",21,2001,33,13,1403,15.6,3,1,4,3,0,1,6,0,4.2,3.4,1.7,5.1,59,30,94,0.19,0.06,0.26,0.19,0.26,0.27,0.11,0.38,0.22,0.33
Lucas Robertone,ARG,MF,25,1997,37,34,2843,31.6,2,7,9,2,0,0,7,0,2.6,2.6,6.6,9.2,47,155,97,0.06,0.22,0.28,0.06,0.28,0.08,0.21,0.29,0.08,0.29
Luis Javier Suárez,COL,FW,24,1997,21,18,1490,16.6,4,4,8,4,0,0,4,1,4.4,4.4,2.1,6.5,29,26,87,0.24,0.24,0.48,0.24,0.48,0.26,0.13,0.39,0.26,0.39
Lázaro,BRA,"FW,MF",20,2002,19,7,716,8.0,6,0,6,6,0,0,1,0,4.0,4.0,0.8,4.8,23,26,59,0.75,0.0,0.75,0.75,0.75,0.5,0.1,0.6,0.5,0.6
Léo Baptistão,BRA,"FW,MF",29,1992,28,24,1726,19.2,5,1,6,5,0,0,7,0,4.9,4.9,1.2,6.2,38,51,83,0.26,0.05,0.31,0.26,0.31,0.26,0.06,0.32,0.26,0.32
Marko Milovanović,SRB,FW,18,2003,2,0,15,0.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3
Rodrigo Ely,BRA,DF,28,1993,36,36,3155,35.1,0,1,1,0,0,0,10,1,1.0,1.0,0.8,1.8,6,52,4,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05
Samu Costa,POR,MF,21,2000,32,22,1989,22.1,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,9,91,24,0.05,0.09,0.14,0.05,0.14,0.08,0.04,0.12,0.08,0.12
Sergio Akieme,ESP,DF,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2.0,3.5,60,58,84,0.04,0.0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14
Srđan Babić,SRB,DF,26,1996,34,33,2998,33.3,3,0,3,3,0,0,5,0,1.2,1.2,0.3,1.5,21,63,5,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.04,0.04,0.04
Umar Sadiq,NGA,FW,25,1997,3,3,240,2.7,2,0,2,2,0,0,1,0,1.5,1.5,0.2,1.6,5,2,7,0.75,0.0,0.75,0.75,0.75,0.55,0.06,0.61,0.55,0.61
Álex Centelles,ESP,DF,24,1997,15,11,1123,12.5,1,2,3,1,0,0,0,1,0.4,0.4,1.3,1.7,17,35,48,0.08,0.16,0.24,0.08,0.24,0.03,0.11,0.14,0.03,0.14
Íñigo Eguaras,ESP,MF,30,1992,25,10,967,10.7,1,1,2,1,0,0,6,0,1.0,1.0,0.6,1.7,8,61,7,0.09,0.09,0.19,0.09,0.19,0.1,0.06,0.16,0.1,0.16
