General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Ademola Lookman,NGA,"FW,MF",24,1997,19.2,13,49,23,46.9,2.55,1.2,0.2,0.43,15.8,1,3,3,9.1,6.7,0.14,3.9,3.3
Berat Djimsiti,ALB,DF,29,1993,20.0,0,5,0,0.0,0.25,0.0,0.0,,7.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6
Brandon Soppy,FRA,DF,20,2002,7.1,0,7,2,28.6,0.98,0.28,0.0,0.0,18.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Caleb Okoli,ITA,DF,21,2001,10.7,0,7,2,28.6,0.66,0.19,0.0,0.0,12.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Davide Zappacosta,ITA,DF,30,1992,16.3,4,25,10,40.0,1.53,0.61,0.16,0.4,16.6,0,0,0,1.5,1.5,0.06,2.5,2.5
Duván Zapata,COL,FW,31,1991,15.4,2,41,8,19.5,2.65,0.52,0.05,0.25,15.6,0,0,0,3.9,3.9,0.1,-1.9,-1.9
Francesco Rossi,ITA,GK,31,1991,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Giorgio Scalvini,ITA,DF,18,2003,25.9,2,17,4,23.5,0.66,0.15,0.12,0.5,11.2,0,0,0,2.0,2.0,0.12,0.0,0.0
Hans Hateboer,NED,DF,28,1994,15.5,1,12,4,33.3,0.77,0.26,0.08,0.25,10.5,0,0,0,1.3,1.3,0.11,-0.3,-0.3
Jeremie Boga,CIV,"MF,FW",25,1997,8.7,2,13,3,23.1,1.5,0.35,0.15,0.67,20.2,2,0,0,1.9,1.9,0.14,0.1,0.1
Joakim Mæhle,DEN,"DF,MF",25,1997,24.5,3,26,6,23.1,1.06,0.24,0.12,0.5,18.5,0,0,0,3.0,3.0,0.12,0.0,0.0
José Luis Palomino,ARG,DF,32,1990,8.4,1,6,3,50.0,0.71,0.36,0.17,0.33,12.6,0,0,0,0.5,0.5,0.09,0.5,0.5
Juan Musso,ARG,GK,28,1994,23.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Luis Muriel,COL,"FW,MF",31,1991,11.9,3,33,8,24.2,2.77,0.67,0.06,0.25,20.6,4,1,1,2.8,2.0,0.06,0.2,0.0
Lukáš Vorlický,CZE,"MF,FW",20,2002,0.3,0,1,1,100.0,3.75,3.75,0.0,0.0,24.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Marco Sportiello,ITA,GK,30,1992,14.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Mario Pašalić,CRO,"MF,FW",27,1995,19.7,5,32,8,25.0,1.63,0.41,0.16,0.63,12.1,0,0,0,5.7,5.7,0.18,-0.7,-0.7
Marten de Roon,NED,MF,31,1991,32.9,3,19,5,26.3,0.58,0.15,0.16,0.6,20.6,0,0,0,1.1,1.1,0.06,1.9,1.9
Matteo Ruggeri,ITA,"DF,MF",20,2002,9.2,0,10,1,10.0,1.09,0.11,0.0,0.0,16.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6
Merih Demiral,TUR,DF,24,1998,17.1,1,6,1,16.7,0.35,0.06,0.17,1.0,13.7,0,0,0,0.7,0.7,0.12,0.3,0.3
Nadir Zortea,ITA,"DF,MF",23,1999,2.5,1,4,3,75.0,1.62,1.22,0.25,0.33,20.4,0,0,0,0.1,0.1,0.03,0.9,0.9
Rafael Tolói,ITA,DF,31,1990,30.9,2,29,9,31.0,0.94,0.29,0.07,0.22,13.2,0,0,0,2.8,2.8,0.1,-0.8,-0.8
Rasmus Højlund,DEN,FW,19,2003,20.4,9,54,28,51.9,2.65,1.37,0.17,0.32,12.9,0,0,0,9.5,9.5,0.18,-0.5,-0.5
Ruslan Malinovskyi,UKR,"MF,FW",29,1993,6.1,1,19,6,31.6,3.09,0.98,0.05,0.17,25.6,0,0,0,0.6,0.6,0.03,0.4,0.4
Teun Koopmeiners,NED,MF,24,1998,31.8,10,55,23,41.8,1.73,0.72,0.15,0.35,21.9,6,2,4,7.6,4.3,0.08,2.4,3.7
Tommaso De Nipoti,ITA,MF,19,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Éderson,BRA,MF,23,1999,24.6,1,36,10,27.8,1.46,0.41,0.03,0.1,21.3,0,0,0,2.0,2.0,0.06,-1.0,-1.0
