General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Anthony Khelifa,FRA,DF,16,2005,2,10,5,0.3,0.1,0,,0,2,5,8,0.0,0,1,-1,-9.0,-7.68,0.1,0.1,0.0,-0.42,0.05
Ben Hamed Touré,CIV,FW,18,2003,4,209,52,6.1,2.3,2,74,0,2,31,1,1.0,0,4,-4,-1.72,-0.41,0.6,4.0,-3.4,-1.46,-1.05
Benjamin Leroy,FRA,GK,33,1989,32,2798,87,81.8,31.1,32,87,31,0,,3,0.69,19,60,-41,-1.32,0.13,30.1,43.7,-13.6,-0.44,0.17
Bevic Moussiti-Oko,CGO,FW,27,1995,17,698,41,20.4,7.8,7,67,0,10,23,1,0.53,4,11,-7,-0.9,0.55,8.3,11.2,-2.9,-0.38,0.11
Clément Vidal,FRA,"DF,MF",22,2000,26,1901,73,55.6,21.1,21,88,17,5,11,8,0.65,11,47,-36,-1.7,-0.82,17.9,32.9,-15.0,-0.71,-0.54
Cyrille Bayala,BFA,MF,26,1996,33,2009,61,58.7,22.3,25,72,7,8,26,1,0.76,8,42,-34,-1.52,-0.44,18.3,31.5,-13.2,-0.59,-0.29
Cédric Avinel,GLP,DF,35,1986,24,1794,75,52.5,19.9,19,88,18,5,23,11,0.63,11,40,-29,-1.45,-0.24,19.1,28.5,-9.4,-0.47,0.0
Fernand Mayembo,CGO,DF,26,1996,11,707,64,20.7,7.9,8,78,5,3,28,9,0.36,5,18,-13,-1.65,-0.39,6.9,13.8,-6.9,-0.88,-0.52
Florian Chabrolle,FRA,MF,24,1998,7,329,47,9.6,3.7,3,90,3,4,15,15,0.43,3,12,-9,-2.46,-1.24,1.9,5.7,-3.8,-1.05,-0.64
François-Joseph Sollacaro,FRA,GK,28,1994,6,540,90,15.8,6.0,6,90,6,0,,28,0.57,3,15,-12,-2.0,-0.78,5.5,9.6,-4.2,-0.69,-0.27
