General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alphonso Davies,CAN,DF,21,2000,22.7,45,28,25,13,7,18,39,46.2,21,28,4,24,24,69,24,4
Arijon Ibrahimović,GER,MF,16,2005,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Benjamin Pavard,FRA,DF,26,1996,27.0,70,41,36,26,8,36,48,75.0,12,35,16,19,44,114,83,0
Bouna Sarr,SEN,FW,30,1992,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Daley Blind,NED,"DF,MF",32,1990,1.5,2,0,2,0,0,0,1,0.0,1,4,2,2,2,4,6,0
Dayot Upamecano,FRA,DF,23,1998,26.1,65,37,43,22,0,28,45,62.2,17,26,6,20,27,92,71,4
Eric Maxim Choupo-Moting,CMR,FW,33,1989,12.4,10,7,2,6,2,1,2,50.0,1,8,0,8,0,10,5,0
Gabriel Vidovic,CRO,FW,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jamal Musiala,GER,"MF,FW",19,2003,24.4,34,23,9,16,9,13,35,37.1,22,30,3,27,19,53,3,0
Joshua Kimmich,GER,MF,27,1995,31.2,78,49,24,46,8,38,72,52.8,34,36,7,29,41,119,39,2
Josip Stanišić,CRO,DF,22,2000,6.4,19,11,14,2,3,12,17,70.6,5,9,1,8,7,26,11,3
João Cancelo,POR,"DF,FW",28,1994,11.2,23,14,9,10,4,10,23,43.5,13,14,2,12,15,38,22,0
Kingsley Coman,FRA,"FW,MF",26,1996,15.7,11,8,3,5,3,7,17,41.2,10,19,1,18,2,13,7,0
Leon Goretzka,GER,MF,27,1995,19.2,43,24,21,16,6,27,48,56.3,21,40,3,37,30,73,32,0
Leroy Sané,GER,"MF,FW",26,1996,22.3,38,30,11,19,8,18,36,50.0,18,11,1,10,3,41,1,2
Lucas Hernández,FRA,DF,26,1996,5.3,6,4,3,3,0,5,6,83.3,1,2,1,1,5,11,7,0
Manuel Neuer,GER,GK,36,1986,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1
Marcel Sabitzer,AUT,MF,28,1994,7.0,27,14,11,10,6,10,17,58.8,7,3,0,3,10,37,9,0
Mathys Tel,FRA,FW,17,2005,4.6,2,2,0,1,1,1,1,100.0,0,5,1,4,0,2,2,0
Matthijs de Ligt,NED,DF,22,1999,26.7,32,23,15,16,1,15,24,62.5,9,31,20,11,23,55,85,0
Noussair Mazraoui,MAR,DF,24,1997,11.9,29,21,9,9,11,15,24,62.5,9,13,2,11,10,39,25,0
Paul Wanner,GER,MF,16,2005,0.3,3,1,1,2,0,1,1,100.0,0,0,0,0,0,3,1,0
Ryan Gravenberch,NED,MF,20,2002,6.4,17,8,4,10,3,7,13,53.8,6,9,1,8,9,26,10,0
Sadio Mané,SEN,"FW,MF",30,1992,15.8,11,5,3,3,5,1,9,11.1,8,15,2,13,0,11,4,0
Serge Gnabry,GER,"FW,MF",27,1995,21.6,35,23,11,14,10,17,43,39.5,26,24,1,23,11,46,5,1
Sven Ulreich,GER,GK,33,1988,3.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,1
Thomas Müller,GER,"FW,MF",32,1989,18.5,21,12,5,9,7,6,16,37.5,10,19,3,16,4,25,16,0
Yann Sommer,SUI,GK,33,1988,19.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1
