General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adnan Januzaj,BEL,FW,27,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Alex Telles,BRA,DF,29,1992,15.9,21,13,15,6,0,13,25,52.0,12,17,5,12,20,41,38,0
Bryan Gil,ESP,"FW,DF",21,2001,10.2,22,11,11,7,4,10,23,43.5,13,10,0,10,8,30,10,0
Carlos Álvarez,ESP,MF,18,2003,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Carmona,ESP,DF,20,2002,5.9,13,11,5,3,5,9,16,56.3,7,10,6,4,7,20,17,1
Diego Iturralde,ESP,DF,19,2003,0.5,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,1,0
Fernando,BRA,"MF,DF",35,1987,17.5,34,23,14,17,3,18,30,60.0,12,21,10,11,24,58,29,0
Gonzalo Montiel,ARG,DF,25,1997,16.9,26,15,12,14,0,15,29,51.7,14,25,7,18,19,45,38,0
Isco,ESP,"MF,FW",30,1992,8.9,15,9,6,5,4,8,14,57.1,6,3,0,3,10,25,3,0
Ivan Rakitić,CRO,MF,34,1988,19.9,37,26,10,18,9,19,40,47.5,21,21,1,20,27,64,20,0
Iván Romero,ESP,MF,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jesús Corona,MEX,FW,29,1993,1.2,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,1,0
Jesús Navas,ESP,"DF,FW",36,1985,22.0,19,12,8,3,8,11,22,50.0,11,18,7,11,22,41,52,1
Joan Jordán,ESP,MF,28,1994,17.7,32,17,13,17,2,16,38,42.1,22,14,7,7,16,48,14,2
Karim Rekik,NED,DF,27,1994,13.1,11,5,8,3,0,4,5,80.0,1,12,5,7,10,21,24,0
Kasper Dolberg,DEN,FW,24,1997,2.2,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,5,0
Kike Salas,ESP,DF,20,2002,4.1,1,1,1,0,0,0,0,,0,4,3,1,5,6,23,0
Loïc Bade,FRA,DF,22,2000,16.1,27,20,23,3,1,17,30,56.7,13,21,13,8,23,50,77,0
Lucas Ocampos,ARG,"FW,MF",28,1994,12.9,22,14,9,9,4,8,31,25.8,23,17,2,15,8,30,5,0
Manuel Sebastián,ESP,MF,18,2004,1.7,7,4,3,3,1,5,8,62.5,3,0,0,0,0,7,2,0
Marcos Acuña,ARG,DF,30,1991,21.2,57,36,34,17,6,30,42,71.4,12,16,5,11,23,80,36,0
Marcão,BRA,DF,26,1996,4.2,2,2,1,1,0,1,1,100.0,0,3,3,0,6,8,14,0
Marko Dmitrović,SRB,GK,30,1992,14.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0
Nemanja Gudelj,SRB,"DF,MF",30,1991,30.9,43,33,22,18,3,20,33,60.6,13,39,29,10,34,77,102,1
Pape Gueye,SEN,MF,23,1999,13.0,37,22,13,21,3,16,33,48.5,17,21,5,16,22,59,10,0
Papu Gómez,ARG,"FW,MF",34,1988,11.8,6,4,3,3,0,2,10,20.0,8,8,1,7,4,10,5,0
Pedro Ortiz,ESP,MF,21,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rafa Mir,ESP,FW,25,1997,14.4,8,2,2,4,2,2,5,40.0,3,5,1,4,4,12,11,0
Suso,ESP,"MF,FW",28,1993,11.8,16,10,5,7,4,10,22,45.5,12,7,1,6,2,18,3,0
Tanguy Nianzou,FRA,DF,20,2002,15.2,20,15,10,9,1,8,11,72.7,3,8,5,3,16,36,44,3
Thomas Delaney,DEN,MF,30,1991,3.4,4,2,0,4,0,3,5,60.0,2,3,2,1,4,8,3,0
Yassine Bounou,MAR,GK,31,1991,23.9,2,1,2,0,0,1,4,25.0,3,0,0,0,2,4,11,1
Youssef En-Nesyri,MAR,FW,25,1997,18.5,16,8,3,7,6,4,14,28.6,10,6,2,4,4,20,16,0
Érik Lamela,ARG,"FW,MF",30,1992,20.5,46,27,14,16,16,12,34,35.3,22,26,2,24,7,53,3,0
Óliver Torres,ESP,"MF,FW",27,1994,23.7,39,23,12,13,14,18,59,30.5,41,26,5,21,10,49,10,0
